alloy_id,Cr_wt,Ni_wt,Mo_wt,V_wt,C_wt,anneal_temp_C,anneal_time_h,process_type,yield_strength_MPa
AL1033,4.946,9.158,0.231,0.394,0.979,605.6,2.26,B,703.1
AL1034,11.703,4.231,3.012,0.642,0.905,466.7,2.37,C,489.3
AL1035,10.115,3.423,3.988,0.168,0.683,544.6,,B,969.7
AL1036,15.155,8.282,1.779,0.359,0.973,611.4,5.19,C,766.6
AL1037,8.785,1.37,3.606,0.145,0.258,341.7,4.85,B,343.6
AL1038,8.148,5.959,1.311,0.766,0.684,363.5,8.01,C,244.8
AL1039,11.452,11.105,3.246,0.084,0.196,573.4,7.52,C,691.0
AL1040,5.096,2.202,0.966,0.816,0.45,354.1,11.91,C,126.8
AL1041,15.602,5.335,2.87,0.339,0.113,697.0,1.4,A,406.1
AL1042,7.14,2.62,1.113,0.921,0.875,670.2,4.79,C,328.5
AL1043,15.023,4.423,0.058,0.648,0.742,562.4,12.0,B,823.1
AL1044,7.911,7.737,1.275,0.758,0.678,552.3,8.77,B,896.0
AL1045,1.049,7.415,2.042,0.855,0.658,339.3,7.73,A,266.0
AL1046,1.75,3.297,,0.822,0.188,655.3,6.64,A,215.3
AL1047,7.279,8.86,1.166,0.502,0.22,663.6,1.24,A,375.6
AL1048,7.648,10.163,3.302,0.919,0.833,429.0,2.7,C,421.7
AL1049,11.911,4.603,2.342,0.913,0.631,549.9,3.72,C,885.6
AL1050,11.87,5.887,3.468,0.305,0.505,354.0,10.19,B,365.9
AL1051,4.977,11.604,0.924,0.41,0.137,393.0,10.52,A,212.3
AL1052,2.994,4.3,1.188,0.45,0.274,453.8,8.9,A,264.6
AL1053,1.401,8.119,2.371,0.812,0.763,580.4,4.57,C,743.0
AL1054,0.25,1.105,,0.754,0.62,665.7,1.51,A,244.1
AL1055,0.877,2.592,1.352,0.105,0.085,614.7,4.06,C,343.1
AL1056,16.302,7.842,3.547,0.192,0.793,405.7,0.88,C,433.9
AL1057,5.87,9.855,1.837,0.809,0.246,530.1,1.0,B,766.5
AL1058,15.493,8.389,0.172,0.086,0.37,607.7,4.89,B,640.9
AL1059,8.192,10.472,3.681,0.812,0.441,687.5,6.1,C,410.5
AL1060,12.159,8.429,0.054,0.519,0.262,543.0,1.25,B,783.8
AL1061,11.842,3.385,2.417,0.955,0.456,354.3,5.32,B,431.5
AL1062,0.875,0.751,,0.032,0.646,531.5,6.55,C,659.7
AL1063,4.849,4.833,2.424,0.364,0.523,527.9,10.21,B,696.2
AL1064,0.407,1.95,2.585,0.941,0.499,341.0,6.4,A,233.1
AL1065,3.008,5.071,2.144,0.743,0.564,309.1,1.21,B,329.9
AL1066,2.12,5.647,3.442,0.571,0.624,479.6,10.04,A,423.9
AL1067,13.078,8.228,2.401,0.746,0.988,521.0,12.0,A,895.9
AL1068,9.461,4.696,3.947,0.192,0.905,431.0,11.86,C,246.4
AL1069,9.681,0.832,0.559,0.047,0.906,692.9,9.0,B,274.8
AL1070,7.115,6.828,2.129,0.113,0.966,589.2,9.07,B,819.3
AL1071,10.019,5.468,3.363,0.814,0.215,404.8,10.82,C,215.6
AL1072,15.313,10.299,2.26,0.416,0.828,586.9,5.29,A,946.3
AL1073,9.845,7.693,2.024,0.763,0.831,443.8,2.07,B,516.3
AL1074,12.79,11.589,1.405,0.497,0.203,669.6,3.75,B,483.2
AL1075,0.286,2.676,1.9,0.969,0.504,528.5,10.86,B,597.3
AL1076,6.274,2.331,3.054,0.986,0.145,390.3,11.63,A,149.0
AL1077,11.601,10.627,1.303,0.03,0.231,404.4,8.95,A,277.8
AL1078,13.123,7.444,0.102,0.509,0.742,570.3,5.34,C,853.4
AL1079,11.106,6.506,0.399,0.531,0.663,577.7,9.42,A,768.8
AL1080,3.555,9.852,0.531,0.99,0.961,400.1,,C,219.5
AL1081,3.001,5.674,0.745,0.878,0.697,642.3,8.16,B,380.4
AL1082,13.116,7.179,0.274,0.414,0.36,689.6,7.64,A,340.9
AL1083,1.742,3.175,0.204,0.995,0.582,485.3,1.12,C,429.5
AL1084,2.508,11.94,0.502,0.703,0.355,556.3,11.51,B,616.8
AL1085,14.219,5.445,2.151,0.702,0.771,444.8,2.49,A,507.0
AL1086,12.968,8.68,1.862,0.715,0.196,658.4,6.14,C,396.7
AL1087,13.012,5.383,0.274,0.364,0.609,394.6,10.29,A,284.7
AL1088,2.491,2.132,3.242,0.979,0.85,332.2,0.63,B,348.5
AL1089,16.496,6.83,3.47,0.212,0.684,641.1,11.99,C,402.6
AL1090,1.486,2.565,0.102,0.248,0.36,423.3,10.99,C,67.6
AL1091,1.916,2.898,0.877,0.049,0.552,477.3,3.14,A,408.7
AL1092,2.255,3.291,3.542,0.582,0.17,541.7,4.76,C,568.8
AL1093,10.527,5.809,0.983,0.239,0.364,564.4,10.3,B,713.3
AL1094,12.54,3.155,3.875,0.435,0.982,572.7,1.85,A,986.1
AL1095,11.289,4.426,2.882,0.689,0.506,688.6,8.94,B,363.1
AL1096,6.256,8.141,0.961,0.917,0.48,506.6,5.23,C,658.9
AL1097,13.528,6.926,0.725,0.856,0.168,563.7,5.95,B,773.5
AL1098,16.798,10.041,,0.759,0.446,504.0,9.55,B,686.0
AL1099,2.521,3.703,3.455,0.445,0.371,507.1,3.84,B,643.2
AL1100,13.504,3.382,3.496,0.792,0.492,411.6,1.2,A,396.4
AL1101,11.46,0.315,0.008,0.261,0.27,513.3,3.0,A,594.9
AL1102,5.41,2.749,0.992,0.777,0.643,445.7,4.75,A,375.6
AL1103,12.09,8.921,1.434,0.864,0.581,530.4,6.23,C,847.0
AL1104,12.215,9.807,2.638,0.757,0.5,618.3,3.06,A,586.0
AL1105,2.989,5.801,3.734,0.411,0.372,522.2,5.01,C,658.7
AL1106,7.573,7.197,3.828,0.077,0.387,521.6,6.58,A,681.8
AL1107,7.04,10.159,1.49,0.901,0.715,593.5,4.42,C,755.7
AL1108,10.042,11.98,3.993,0.016,0.547,428.0,2.72,A,451.1
AL1109,6.319,7.13,3.698,0.5,0.145,447.7,2.28,B,420.7
AL1110,17.482,10.973,0.213,0.015,0.139,454.3,11.49,C,311.9
AL1111,3.425,0.24,3.955,0.021,0.318,458.4,1.58,A,322.4
AL1112,15.764,7.667,1.527,0.66,0.497,315.6,10.22,A,284.9
AL1113,15.575,2.866,0.482,0.394,0.195,468.1,1.82,B,495.0
AL1114,6.006,0.339,2.581,0.117,0.785,663.5,8.42,B,310.6
AL1115,16.8,2.245,0.097,0.037,0.973,514.6,10.53,A,823.1
AL1116,15.633,6.833,0.677,0.293,0.235,611.9,3.81,C,524.8
AL1117,13.793,11.224,3.214,0.582,0.665,424.1,6.55,A,453.5
AL1118,10.691,10.596,0.414,0.579,0.455,618.8,1.54,A,568.1
AL1119,1.501,1.197,2.529,0.371,0.393,338.8,6.29,A,234.8
AL1120,10.359,2.86,1.545,0.511,0.593,495.6,1.21,,607.9
AL1121,9.856,2.679,2.961,0.354,0.788,527.7,10.57,A,756.2
AL1122,1.058,6.12,2.028,0.323,0.664,348.5,2.31,A,263.8
AL1123,4.117,7.535,0.777,0.457,0.759,457.1,9.09,B,396.5
AL1124,6.398,6.524,1.517,0.509,0.406,492.7,3.05,A,585.8
AL1125,17.18,3.733,0.748,0.73,0.383,369.1,1.17,A,373.1
AL1126,3.946,3.639,0.2,0.191,0.175,523.3,0.82,C,506.2
AL1127,14.979,3.045,0.633,0.445,0.585,633.9,3.85,B,539.0
AL1128,15.597,1.365,1.212,0.97,0.228,303.7,3.52,B,355.2
AL1129,8.406,6.333,3.369,0.061,0.746,555.9,8.71,C,849.8
AL1130,14.59,8.658,1.445,0.131,0.635,583.4,11.33,C,667.8
AL1131,12.409,6.999,,0.932,0.078,422.9,7.33,B,422.3
AL1132,16.385,4.931,0.36,0.452,0.687,671.1,9.26,A,328.8
AL1133,11.024,5.718,0.457,0.396,0.542,399.9,10.0,A,262.3
AL1134,17.268,2.888,1.365,0.168,0.386,375.8,8.44,A,344.5
AL1135,0.191,0.504,0.605,0.238,0.823,608.8,8.6,A,464.1
AL1136,7.618,6.731,0.699,0.416,0.484,530.8,3.43,B,782.6
AL1137,3.979,7.07,2.306,0.403,0.616,603.0,6.82,B,635.1
AL1138,8.314,5.847,0.363,0.353,0.259,602.8,9.49,A,440.2
AL1139,5.585,5.352,3.646,0.237,0.781,461.7,4.7,A,420.2
AL1140,7.826,11.563,1.41,0.71,0.278,325.8,5.66,C,330.1
AL1141,13.969,1.627,2.818,0.464,0.482,689.6,8.15,A,291.4
AL1142,16.329,5.218,0.961,0.836,0.7,539.9,10.83,B,889.8
AL1143,15.394,7.786,0.847,0.535,0.134,384.9,8.39,B,387.9
AL1144,11.504,5.828,3.113,0.263,0.758,506.4,11.04,C,622.1
AL1145,7.42,8.181,1.695,0.659,0.638,447.0,3.84,C,395.9
AL1146,9.725,6.974,2.143,0.306,0.492,634.8,7.19,,488.9
AL1147,14.103,3.923,1.278,0.76,0.833,654.4,2.75,B,519.6
AL1148,11.835,7.866,0.193,0.761,0.579,589.5,5.32,B,792.9
AL1149,15.591,11.921,2.689,0.315,0.647,497.6,9.58,B,771.5
AL1150,4.694,11.415,2.866,0.036,0.113,337.3,6.16,A,318.2
AL1151,15.143,10.483,0.861,0.622,0.062,483.4,0.7,B,565.2
AL1152,17.29,11.062,0.626,0.579,0.458,417.9,6.04,C,436.7
AL1153,6.767,8.057,2.668,0.715,0.867,453.5,5.14,A,435.6
AL1154,0.339,6.588,3.443,0.699,0.282,572.2,7.57,C,563.9
AL1155,4.624,7.084,3.266,0.456,0.799,632.3,1.68,B,517.1
AL1156,8.486,1.074,3.639,0.632,0.393,389.1,11.66,A,211.4
AL1157,16.923,10.205,0.44,0.254,0.537,677.5,3.23,A,406.1
AL1158,10.954,3.714,2.447,0.663,0.781,350.7,2.27,A,390.3
AL1159,17.143,7.316,2.15,0.587,0.144,654.2,3.3,A,473.6
AL1160,11.389,0.569,2.972,0.548,0.955,304.4,9.52,C,247.9
AL1161,14.8,9.593,2.368,0.029,0.334,693.5,4.36,A,406.3
AL1162,12.714,10.833,2.625,0.543,0.806,665.5,7.33,A,467.3
AL1163,7.479,11.619,2.843,0.267,0.886,393.9,,B,345.5
AL1164,3.01,2.755,0.16,0.95,0.604,547.7,,A,788.9
AL1165,8.944,7.434,1.057,0.062,0.753,533.7,1.97,A,909.8
AL1166,7.949,11.038,3.192,0.233,0.743,430.8,7.51,A,411.9
AL1167,5.38,7.502,1.296,0.479,0.087,404.6,5.09,B,330.6
AL1168,17.868,10.462,2.241,0.893,0.191,352.3,8.11,A,421.8
AL1169,16.054,8.128,0.806,0.124,0.542,531.2,6.93,C,828.6
AL1170,16.056,7.467,1.508,0.708,0.336,368.2,9.64,C,324.0
AL1171,6.475,3.628,2.404,0.868,0.329,612.0,4.71,C,457.7
AL1172,9.785,11.461,2.858,0.576,0.702,533.8,7.23,B,998.7
AL1173,4.223,1.032,1.42,0.796,0.886,626.4,2.15,B,515.6
AL1174,0.171,6.041,3.409,0.354,0.721,656.1,4.81,A,338.5
AL1175,17.096,8.316,0.152,0.377,0.311,494.9,5.45,A,649.8
AL1176,0.454,2.129,1.828,0.304,0.148,475.2,10.17,A,229.7
AL1177,4.088,11.722,3.812,0.544,0.681,627.3,7.64,B,548.1
AL1178,2.87,8.652,2.839,0.71,0.734,508.5,2.02,B,741.7
AL1179,9.638,2.12,1.68,0.491,0.785,535.3,11.1,B,790.4
AL1180,1.977,2.374,0.81,0.916,0.782,341.0,10.31,A,192.4
AL1181,14.585,9.822,1.995,0.151,0.559,626.3,9.33,B,515.4
AL1182,14.779,5.948,1.328,0.297,0.528,359.3,5.59,C,334.3
AL1183,15.007,9.513,3.486,0.792,0.241,489.0,11.06,A,546.8
AL1184,5.377,1.663,0.372,0.353,0.878,631.7,10.1,B,354.8
AL1185,0.537,8.524,2.288,0.486,0.992,642.5,7.52,A,376.3
AL1186,10.125,11.8,2.628,0.432,0.512,473.2,5.42,A,574.7
AL1187,14.645,6.48,3.616,0.311,0.552,591.8,8.36,C,703.0
AL1188,11.991,5.985,0.036,0.196,0.262,370.8,5.72,A,316.0
AL1189,14.069,1.067,3.292,0.437,0.867,378.0,11.3,A,267.4
AL1190,1.321,0.526,2.702,0.806,0.301,322.5,10.08,A,134.0
AL1191,6.355,5.428,0.91,0.055,0.622,545.3,7.46,C,744.8
AL1192,9.742,7.543,1.636,0.767,0.305,617.0,10.49,B,492.6
AL1193,17.401,4.581,3.228,0.018,0.371,582.0,9.09,A,732.8
AL1194,9.462,8.559,0.806,0.108,0.419,629.3,10.63,B,378.7
AL1195,8.929,6.008,0.435,0.718,0.528,514.2,4.88,,683.4
AL1196,7.451,2.45,2.327,0.231,0.45,662.9,2.08,A,389.0
AL1197,8.887,8.234,1.778,0.385,0.905,648.4,1.42,B,490.2
AL1198,12.45,4.343,,0.698,0.972,548.9,8.97,A,1004.2
AL1199,9.996,9.287,0.744,0.62,0.183,633.6,9.41,B,447.5
AL1200,7.623,5.371,1.47,0.668,0.828,664.6,7.6,A,308.7
AL1201,9.657,7.605,2.23,0.424,0.545,541.1,2.22,B,879.3
AL1202,14.961,2.331,2.032,0.01,0.855,400.9,1.81,B,449.6
AL1203,14.343,6.528,1.505,0.092,0.579,471.0,6.78,B,539.6
AL1204,2.686,9.709,3.42,0.874,0.699,502.1,4.78,A,669.3
AL1205,4.649,7.602,3.621,0.052,0.848,642.7,3.03,A,459.8
AL1206,7.131,4.579,2.681,0.61,0.777,652.6,10.1,B,345.2
AL1207,14.263,9.572,2.161,0.557,0.06,401.4,7.58,B,430.8
AL1208,7.428,4.982,0.008,0.481,0.819,332.0,2.57,B,363.5
AL1209,0.968,11.915,0.8,0.981,0.637,419.4,9.1,B,287.3
AL1210,9.714,0.186,2.822,0.186,0.366,369.1,6.97,A,290.8
AL1211,14.488,9.71,0.21,0.969,0.263,430.3,9.42,C,307.4
AL1212,9.323,8.956,0.222,0.369,0.408,331.5,10.54,A,239.5
AL1213,13.367,3.058,1.782,0.109,0.537,309.4,11.23,C,167.4
AL1214,7.974,3.164,2.187,0.585,0.929,409.3,6.74,A,321.5
AL1215,14.118,8.733,3.802,0.512,0.184,371.5,2.77,A,387.4
AL1216,3.099,11.658,,0.715,0.579,444.6,7.45,B,381.9
AL1217,0.232,11.367,1.092,0.136,0.093,525.0,10.01,B,550.4
AL1218,10.033,3.723,1.403,0.864,0.178,507.5,1.93,B,667.7
AL1219,6.746,9.901,2.915,0.678,0.83,305.5,10.12,B,366.5
AL1220,8.463,3.003,1.082,0.982,0.813,378.3,6.01,B,377.9
AL1221,1.758,11.44,0.388,0.246,0.774,596.2,2.24,B,737.7
AL1222,2.747,8.922,0.616,0.467,0.967,325.8,2.22,A,287.0
AL1223,4.036,2.542,1.979,0.442,0.691,413.8,7.48,C,250.5
AL1224,3.567,6.933,0.27,0.898,0.766,452.9,9.86,C,262.5
AL1225,13.132,5.803,3.654,0.47,0.564,385.0,7.04,A,386.6
AL1226,8.613,4.185,2.445,0.298,0.527,377.3,11.6,A,208.4
AL1227,15.553,0.387,1.596,0.935,0.402,547.8,7.97,C,753.8
AL1228,3.213,2.318,2.475,0.058,0.434,418.9,1.86,C,225.1
AL1229,7.154,1.456,0.154,0.2,0.13,439.6,11.99,C,117.1
AL1230,14.273,4.858,3.256,0.422,0.693,536.7,0.76,A,943.7
AL1231,6.494,4.411,0.778,0.712,0.245,370.2,9.41,A,234.0
AL1232,16.859,4.15,0.318,0.167,0.853,587.4,6.45,A,844.3
AL1233,16.614,0.491,2.55,0.339,0.693,431.9,7.02,A,399.4
AL1234,16.13,11.345,0.658,0.273,0.74,531.8,0.87,A,975.3
AL1235,14.783,9.304,2.082,0.85,0.92,313.1,11.11,A,374.9
AL1236,2.581,11.465,0.36,0.377,0.096,592.9,9.52,C,457.2
AL1237,10.168,4.501,3.354,0.904,0.437,357.8,4.66,A,371.4
AL1238,1.622,6.069,0.098,0.569,0.606,446.3,10.16,B,305.9
AL1239,3.205,11.858,1.469,0.523,0.13,469.3,1.76,B,424.7
AL1240,7.365,1.423,3.956,0.549,0.663,316.0,10.49,B,270.6
AL1241,8.43,2.106,1.019,0.242,0.843,498.7,2.45,A,647.8
AL1242,13.423,11.573,1.539,0.96,0.425,327.5,9.68,C,357.4
AL1243,4.538,1.614,2.409,0.595,0.162,300.4,8.46,A,186.9
AL1244,7.091,7.224,2.124,0.207,0.569,677.3,0.5,A,363.5
AL1245,15.852,10.111,2.024,0.882,0.334,596.0,4.72,A,725.9
AL1246,2.716,1.164,,0.058,0.874,475.2,8.04,A,392.9
AL1247,17.794,3.028,2.708,0.376,0.836,606.1,8.05,B,769.2
AL1248,13.389,5.261,2.853,0.952,0.833,563.2,1.87,A,1009.2
AL1249,14.162,5.468,2.334,0.714,0.731,613.6,3.06,,685.0
AL1250,0.426,4.966,0.313,0.995,0.9,681.1,4.09,B,304.1
AL1251,17.522,2.942,0.716,0.734,0.302,654.9,2.08,B,470.7
AL1252,12.194,4.09,2.827,0.165,0.301,513.4,7.54,B,678.3
AL1253,4.04,6.567,1.987,0.263,0.8,401.9,10.79,A,186.0
AL1254,12.005,2.959,,0.722,0.93,482.4,6.58,B,646.8
AL1255,0.761,3.639,2.181,0.703,0.502,580.2,11.2,B,595.6
AL1256,6.886,2.961,2.238,0.124,0.079,387.6,8.43,B,268.4
AL1257,8.315,3.472,3.68,0.649,0.227,591.6,,B,646.1
AL1258,7.797,4.745,1.697,0.587,0.613,480.3,1.57,A,516.2
AL1259,4.005,4.447,0.235,0.631,0.87,488.6,8.34,B,538.1
AL1260,10.67,2.623,3.077,0.736,0.098,332.2,4.52,C,311.8
AL1261,6.814,6.272,2.541,0.089,0.357,453.0,5.32,A,356.1
AL1262,15.084,4.732,2.634,0.854,0.277,403.2,0.82,C,369.9
AL1263,13.14,11.602,0.814,0.756,0.409,603.8,4.05,A,669.5
AL1264,17.48,3.912,,0.614,0.843,369.8,11.56,C,285.7
AL1265,13.719,10.718,0.522,0.793,0.666,344.6,7.36,,356.6
AL1266,2.527,4.366,0.847,0.2,0.375,664.8,2.61,A,285.5
AL1267,3.22,8.882,1.486,0.923,0.942,525.7,4.49,A,948.7
AL1268,6.629,10.738,2.512,0.895,0.237,546.3,9.52,A,656.7
AL1269,0.341,0.28,2.513,0.251,0.394,552.1,9.96,A,573.5
AL1270,9.706,6.566,1.904,0.191,0.409,629.2,6.42,C,456.9
AL1271,3.697,11.928,3.565,0.135,0.888,664.0,3.06,A,426.0
AL1272,16.659,7.053,3.065,0.413,0.326,524.7,3.89,B,813.7
AL1273,9.27,9.109,3.695,0.101,0.582,416.8,2.71,A,407.3
AL1274,0.003,1.087,1.387,0.247,0.905,537.7,6.47,B,836.2
AL1275,12.601,0.047,0.962,0.035,0.71,538.1,8.36,A,865.3
AL1276,14.868,0.79,3.524,0.202,0.547,669.4,9.1,A,292.6
AL1277,7.874,9.074,1.01,0.006,0.962,311.8,6.68,A,334.9
AL1278,3.232,3.792,2.377,0.537,0.708,397.4,5.96,A,289.0
AL1279,14.773,6.937,0.635,0.402,0.217,545.1,11.97,A,635.5
AL1280,13.21,7.449,2.142,0.869,0.306,689.1,1.32,B,472.3
AL1281,10.975,2.346,1.972,0.087,0.956,676.5,7.76,C,334.0
AL1282,11.375,10.3,2.604,0.888,0.51,606.1,10.26,C,602.1
AL1283,0.355,2.109,1.2,0.318,0.981,608.6,1.62,B,565.9
AL1284,2.654,3.114,1.291,0.877,0.651,324.4,2.1,C,231.2
AL1285,7.347,7.492,,0.224,0.147,359.4,3.69,B,368.1
AL1286,12.285,4.735,2.702,0.769,0.235,647.6,6.35,A,426.2
AL1287,1.467,3.359,3.313,0.018,0.05,384.7,9.67,A,143.8
AL1288,2.573,10.288,3.45,0.618,0.991,327.3,4.12,A,325.3
AL1289,2.063,0.719,0.587,0.184,0.234,412.2,1.31,A,205.1
AL1290,9.53,11.175,0.178,0.149,0.293,442.5,0.89,A,410.1
AL1291,13.426,11.355,1.187,0.319,0.072,379.6,9.39,C,255.5
AL1292,8.003,9.953,1.759,0.904,0.707,366.8,1.07,C,379.3
AL1293,3.646,0.492,3.897,0.803,0.977,664.8,7.59,A,356.9
AL1294,4.694,9.857,3.181,0.929,0.054,330.2,7.36,C,277.8
AL1295,17.097,10.194,0.586,0.811,0.716,358.6,10.43,A,376.7
AL1296,5.901,9.888,3.288,0.392,0.981,421.6,1.98,B,465.9
AL1297,4.388,5.36,0.251,0.446,0.851,422.1,7.5,B,315.4
AL1298,2.194,3.873,2.681,0.38,0.115,438.0,1.49,A,241.8
AL1299,17.197,1.233,1.427,0.093,0.844,679.5,0.82,B,455.7
AL1300,4.907,3.568,0.454,0.276,0.773,366.9,3.27,B,288.1
AL1301,5.167,8.442,1.956,0.988,0.325,531.7,2.12,A,724.0
AL1302,9.272,3.878,0.513,0.087,0.377,495.9,2.36,C,489.1
AL1303,5.223,6.507,3.162,0.095,0.756,540.8,11.66,C,756.1
AL1304,3.162,6.422,3.827,0.21,0.077,663.8,10.71,A,225.3
AL1305,8.742,5.993,0.105,0.526,0.219,475.9,,A,385.7
AL1306,10.318,10.204,0.51,0.105,0.631,513.0,11.2,A,670.5
AL1307,9.855,4.836,,0.706,0.125,304.7,1.05,A,357.2
AL1308,0.688,9.722,0.015,0.376,0.248,409.7,10.12,A,245.0
AL1309,13.851,4.676,2.465,0.353,0.64,692.2,8.12,A,363.0
AL1310,0.985,3.233,1.919,0.776,0.384,397.3,7.67,B,266.9
AL1311,6.791,11.421,3.629,0.357,0.913,393.5,2.33,B,453.7
AL1312,9.337,5.334,2.14,0.91,0.666,588.0,11.52,A,624.3
AL1313,10.666,2.975,0.896,0.098,0.329,488.7,3.81,B,554.7
AL1314,15.055,7.612,1.508,0.885,0.116,634.0,9.15,B,421.7
AL1315,10.627,11.378,3.676,0.76,0.256,429.5,10.58,B,385.2
AL1316,0.19,6.296,3.899,0.402,0.191,554.2,5.17,C,595.5
AL1317,7.545,0.486,1.721,0.538,0.994,334.5,6.22,A,274.3
AL1318,8.558,3.285,3.265,0.062,0.445,529.4,6.23,A,752.4
AL1319,15.709,6.311,0.341,0.925,0.654,390.1,4.68,C,396.5
AL1320,5.249,10.64,0.232,0.428,0.839,321.2,10.52,A,264.5
AL1321,14.771,3.337,0.653,0.941,0.213,651.3,3.87,B,423.4
AL1322,10.074,8.089,1.84,0.716,0.172,681.4,7.12,B,376.9
AL1323,4.593,7.406,2.012,0.034,0.15,467.6,5.69,A,360.4
AL1324,3.756,4.682,0.251,0.326,0.513,525.3,6.16,C,637.9
AL1325,17.234,8.64,0.975,0.537,0.552,330.7,4.63,A,463.5
AL1326,7.341,0.806,0.724,0.693,0.781,417.7,6.22,C,303.3
AL1327,15.353,0.196,1.148,0.381,0.967,419.2,1.9,B,487.8
AL1328,2.139,7.964,0.957,0.339,0.363,394.6,8.27,A,199.3
AL1329,8.388,8.982,3.955,0.437,0.334,665.4,6.37,C,360.2
AL1330,8.033,6.491,0.123,0.008,0.753,687.0,3.03,C,284.8
AL1331,0.551,11.583,2.333,0.892,0.597,508.4,8.25,C,585.7
AL1332,12.939,5.372,3.848,0.759,0.852,665.7,2.3,B,524.7
AL1333,9.89,9.36,0.645,0.937,0.088,591.5,3.09,A,599.8
AL1334,0.987,0.302,0.35,0.9,0.381,529.2,7.6,A,582.3
AL1335,0.508,5.384,1.229,0.683,0.516,487.7,10.88,A,379.5
AL1336,17.93,2.156,1.439,0.411,0.552,367.8,3.09,B,387.6
AL1337,16.863,3.986,0.025,0.464,0.707,629.9,9.99,B,480.0
AL1338,13.323,7.108,3.107,0.597,0.475,327.9,9.09,B,391.8
AL1339,17.711,1.166,0.72,0.457,0.707,452.1,3.9,A,476.1
AL1340,12.816,9.044,2.542,0.418,0.816,323.5,6.67,A,412.8
AL1341,0.652,8.346,3.25,0.026,0.561,564.2,11.31,A,642.7
AL1342,15.591,11.533,2.891,0.278,0.167,386.3,0.66,B,469.5
AL1343,13.928,5.822,0.854,0.348,0.738,599.4,0.58,C,671.0
AL1344,8.094,4.467,2.739,0.26,0.907,580.1,1.6,A,859.8
AL1345,11.895,8.459,1.747,0.364,0.67,383.1,10.93,C,258.2
AL1346,7.981,9.581,3.713,0.83,0.99,570.8,7.87,C,957.4
AL1347,13.865,1.372,3.936,0.581,0.794,551.8,4.51,B,1038.2
AL1348,13.325,11.751,3.702,0.253,0.889,456.2,11.51,A,430.4
AL1349,1.733,4.211,0.955,0.404,0.736,490.4,11.69,C,367.5
AL1350,8.239,0.939,1.666,0.372,0.072,403.0,10.57,C,142.3
AL1351,15.395,2.93,1.416,0.397,0.696,667.8,4.14,A,461.7
AL1352,4.229,5.454,1.607,0.837,0.836,379.3,8.92,B,278.2
AL1353,7.682,2.439,2.993,0.973,0.943,656.1,7.52,A,393.7
AL1354,13.7,8.429,3.905,0.899,0.725,500.9,5.13,B,856.0
AL1355,14.279,5.998,3.348,0.992,0.321,580.7,7.7,A,661.3
AL1356,10.899,0.259,3.075,0.128,0.228,364.3,6.76,A,297.9
